rating,review
1,"This app is despicable. It is being used to attack the homeless. It is being used to destroy their encampments. It is literally causing people to die! Something needs to be done. Targeting the homeless in a city where you would rather attack the homeless instead of facing the issue. Anyone who uses this app to target the homeless is a lowlife and a pathetic pile of flesh. You are not human, but monsters!"
3,we need this in more the just Seattle Snohomish county needs this desperately
4,"I have used this app when I first heard about the app. Resolved roughly 7 potholes I have reported on my commute. Takes about 1 to 3 days for the potholes to be resolved.   Reported 2 road-kills on roads and gain immediate response from miscellaneous report and notified proper departments to resolve the issue.    I have reported handful of abandon cars (with flat tires) that my neighborhood leaves damaged and neglected without having them visit a mechanic shop for 1-2 months. Within a week or more, tickets compiled on the cars that have been reported. Gotten 2 vehicles towed when left past deadline to respond.   Had reported 2 illegal dumping of furniture reported that were too close to knock over to the road. Been resolve within a week.  One issue I have is I attempted to report broken traffic lights as I drive that always require the 'Pole Serial Code' which I'm taking screenshots from my dashcam to my phone. Make this a harder issue to report broken traffic lights as a driver.  Note: My issues usually get resolved by including photos in all my reports and accurate location you can change on the 'Address' box."
5,"Whether my requests are heard or whether they aren't, I still think this is a great idea. I have personally met some of the people who come out and clean up homeless encampments and garbage etc. and they are some of the hardest working people in the city. Five stars. Thank you for being there."
5,"This is such a great tool to score on some homeless chicks, not to say but I'm homeless as well.i have completely , I forgot"
1,"Submitted several things and haven't gotten any of them fixed. What's the 
point"
2,"Why did maps stop working and no update to fix it? Was great until then. 
Bugs and no support make it tough to use."
1,"Map doesn't work, so you can't report accurate location of the problem"
5,Easy to use.
2,It doesnt work. Won't send requests.
4,"Useful app to report illegal dumping, potholes, signal maintenance issues. It could be improve by allowing updates to reports"
1,Whatever this recent update is it sucks. Unusable now
5,"Super fast response to a mess in my neighborhood.  A big ol' ""atta boy"" to you folks who make this happen."
1,"Horrible. They supposedly opened it and then closed it without anything being done. The location sucks because if you try and fix it to your actual location, it just stays on the same screen and doesn't do anything else. You have to close the app and start over. Smart idea, wish it actually worked."
1,"Doesn't work, can't summit a report it just complains about location and description required even though I filled out everything. Uninstalled immediately."
5,Very prompt service. Emails of work order status.
1,"App incorrectly thinks there is not enough room on my phone.  It is only looking at phone storage, not SD storage."
5,I just submited potholes was there for years in our neighborhood. Looks like no body report to the city. Everyday i drove by and i hate it. So i go ahead try this app. They indee came out and fixed the potholes after 2 days of my reported.
2,"The app itself is fine, but the City doesn't actually respond, so it's kind of a waste of time. I've submitted multiple reports and it shows the reports were opened and then closed a few days later. I suppose they think that issues will just resolve themselves if they ignore them."
1,I submitted a couple reports two months ago and got no response on them. Seattle's roads are horrendous and the money is spent on stupid places like the bike share program. I think they just created this app so people would stop calling and complaining but they just ignore the requests.
5,Love
4,I reported a bad pothole along my regular bike commute. I liked the way it allowed me to find and mark the location and then upload a picture. Response time was excellent.  I found the pothole fully repaired when I passed by a couple days later.
5,Excellent app
5,"Every time I have reported an issue through this I have seen it fixed or improved, often with personal follow-up from someone at the responsible agency."
4,"Pretty easy to use, although filling out the long form on a smartphone is tedious."
2,"Always get failed to sync error now, so I can't use the app. Hm."
